Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
118,1.40383000,-1.40383000,0.85450500,0.07536700,-0.09690100,1.00086980
119,1.40383000,-1.28175800,0.91554100,0.07297500,-0.14236100,0.99916071
120,0.30518000,-1.64797400,0.67139700,0.14594900,-0.11604200,0.99671929
121,0.30518000,-0.97657700,0.91554100,0.13637900,-0.10407900,0.99940490
122,0.30518000,-0.97657700,0.91554100,0.13637900,-0.10407900,0.99940490
123,0.79346900,-0.54932500,1.58693800,0.08852700,-0.27036500,0.99781796
124,0.79346900,-0.54932500,1.58693800,0.08852700,-0.27036500,0.99781796
125,1.77004700,-0.36621700,1.52590200,0.09690100,-0.21772800,0.99989316
126,1.77004700,-0.36621700,1.52590200,0.09690100,-0.21772800,0.99989316
127,2.38040700,-0.24414400,1.83108300,0.12082700,-0.19619400,1.00050357
128,2.31937100,0.97657700,1.89211900,0.09091900,-0.02273000,1.00209051
129,1.64797400,1.03761300,1.64797400,0.12561200,-0.02392600,0.99598684
130,0.30518000,0.48828900,0.36621700,0.04067400,-0.11006000,0.99867245
131,0.30518000,0.48828900,0.36621700,0.04067400,-0.11006000,0.99867245
132,0.73243300,0.36621700,0.54932500,0.07417100,-0.13877200,1.00111388
133,0.73243300,0.36621700,0.54932500,0.07417100,-0.13877200,1.00111388
134,1.15968600,0.54932500,0.73243300,0.10168600,-0.11364900,0.99574276
135,1.15968600,0.54932500,0.73243300,0.10168600,-0.11364900,0.99574276
136,1.40383000,0.79346900,0.85450500,0.08134900,-0.08015300,0.99671929
137,1.40383000,0.79346900,0.85450500,0.08134900,-0.08015300,0.99671929
138,1.58693800,1.09865000,0.85450500,0.05263800,-0.07656400,0.99781796
139,1.58693800,1.09865000,0.85450500,0.05263800,-0.07656400,0.99781796
140,0.18310800,15.86938300,-0.12207200,0.19739100,0.09450800,0.99378959
141,0.18310800,15.86938300,-0.12207200,0.19739100,0.09450800,0.99378959
142,0.24414400,17.39528500,-0.12207200,0.22969100,0.15791300,0.99745173
143,0.24414400,17.39528500,-0.12207200,0.22969100,0.15791300,0.99745173
144,0.12207200,19.10429500,0.00000000,0.25122500,0.12800500,1.00050357
145,0.12207200,19.10429500,0.00000000,0.25122500,0.12800500,1.00050357
146,-0.18310800,21.05745000,-0.06103600,0.27515100,0.15552000,0.99659724
147,-0.18310800,21.05745000,-0.06103600,0.27515100,0.15552000,0.99659724
148,-0.54932500,23.19371300,-0.12207200,0.24285000,0.26318800,0.98170439
149,-1.89211900,47.24193200,-0.73243300,0.93431600,-0.36128500,0.97535663
150,-68.97077900,316.22797000,-61.09712400,-3.73367500,0.26558000,1.02430765
151,-68.97077900,316.22797000,-61.09712400,-3.73367500,0.26558000,1.02430765
152,-73.12123300,314.70206800,-65.36965000,-3.97772200,0.28472100,1.04017704
153,-73.12123300,314.70206800,-65.36965000,-3.97772200,0.28472100,1.04017704
154,-77.45479500,312.26062400,-70.92393400,-4.43590800,0.14116400,1.07521173
155,-77.45479500,312.26062400,-70.92393400,-4.43590800,0.14116400,1.07521173
156,-80.56763600,309.02571100,-77.69894000,-4.57228700,0.67711000,1.18739602
157,-80.56763600,309.02571100,-77.69894000,-4.57228700,0.67711000,1.18739602
158,-80.44556300,303.41039100,-80.75074400,-4.75173300,1.22262600,1.28542000
159,-80.44556300,303.41039100,-80.75074400,-4.75173300,1.22262600,1.28542000
160,87.76989400,-179.38506100,11.77996500,-0.96422400,-1.97151400,0.94764633
161,97.59670400,-179.69024200,11.77996500,-0.77640300,-1.69038200,0.91285571
162,97.59670400,-179.69024200,11.77996500,-0.77640300,-1.69038200,0.91285571
163,104.79896200,-178.34744800,11.47478400,-0.64122100,-1.32670500,0.89893949
164,104.79896200,-178.34744800,11.47478400,-0.64122100,-1.32670500,0.89893949
165,110.47531900,-176.51636500,10.92546000,-0.63523900,-1.00729100,0.87501337
166,110.47531900,-176.51636500,10.92546000,-0.63523900,-1.00729100,0.87501337
167,113.16090600,-174.31906600,10.07095400,-0.70941000,-0.64361300,0.87745480
168,113.16090600,-174.31906600,10.07095400,-0.70941000,-0.64361300,0.87745480
169,76.29510900,-178.77470100,1.83108300,-1.67124100,0.47493400,0.98768602
170,19.16533200,-168.76478200,62.92820600,-1.37096800,-1.78728300,0.52344551
171,19.16533200,-168.76478200,62.92820600,-1.37096800,-1.78728300,0.52344551
172,12.26825400,-160.83009100,56.70252500,-1.52050700,-1.67722300,0.54798204
173,7.20225800,-153.87197700,52.06378300,-1.77292700,-1.53605900,0.57239643
174,7.20225800,-153.87197700,52.06378300,-1.77292700,-1.53605900,0.57239643
175,3.54009300,-148.19562100,49.13405100,-1.96433700,-1.36498700,0.59534602
176,3.54009300,-148.19562100,49.13405100,-1.96433700,-1.36498700,0.59534602
177,0.73243300,-143.43480600,47.97436500,-2.15574600,-1.21784100,0.61292439
178,0.73243300,-143.43480600,47.97436500,-2.15574600,-1.21784100,0.61292439
179,-1.95315500,-139.22331600,48.40161700,-2.23470200,-1.13768800,0.62586408
180,-62.62302600,142.03097600,-57.92324700,-4.21459100,-1.04318000,0.93360796
181,-22.88853300,178.89677300,-51.45342200,-6.26266900,-0.32061000,1.48659500
182,-22.88853300,178.89677300,-51.45342200,-6.26266900,-0.32061000,1.48659500
183,10.31509900,190.37155700,-53.10139600,-10.71652100,2.28614300,1.99996949
184,10.31509900,190.37155700,-53.10139600,-10.71652100,2.28614300,1.99996949
185,-0.91554100,167.54406000,-52.73518000,-14.46455200,3.54226600,1.99996949
